"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2727,673548,"Suzuki, Seiya",2727,100,0.246,0.233,0.282,0.479,0.344,0.366,0.262,140,570,91.3,17.9,2329,88.9,88.97,265,1108,1619,0.09999999999999432,6.4,107,151,123,147,302,324,294,"-17.706","17.706","71.2","7.2",649,415,74,31,3,32,163,25.1,70,10.8,2.44143,0.50819,0.24075,0.01194,"92.5",177,48.674698795180724,16.626506024096386,10.631741140215716,5.78,-0.69,0.2,2.24,0.325,69,"0.649284928",0.343,0.512,"-0.649284928",-0.016,-0.018000000000000016,-0.033,-0.022,23.9,"37.1",7.443442199751194,-1.7883404993263894,31.054232167814973,0.4875576036866359,37.51048177817647,33.7175620354119
2717,664023,"Happ, Ian",2717,100,0.243,0.178,0.287,0.42,0.333,0.363,0.267,138,569,89.9,16,2251,89.7,89.84,290,1181,1536,0.09999999999999432,6.42,115,147,118,150,295,322,299,"-12.582","12.582","70.0","6.8",661,423,83,32,0,23,151,22.8,85,12.9,2.25055,0.63881,0.42399,-0.42261,"92.2",170,44.44444444444444,10.401891252955082,6.656580937972769,5.8,-0.83,-0.11,2.45,0.34,44,"0.463084284",0.363,0.472,"-0.463084284",-0.024,-0.022999999999999965,-0.052,-0.03,24.6,"37.5",9.26170454284967,-3.315789932500904,32.599830450974984,0.43766346992153443,35.99764894298929,32.75057838964489
2521,621020,"Swanson, Dansby",2521,100,0.244,0.173,0.298,0.417,0.31,0.355,0.276,144,590,90.1,13.1,2321,89.2,89.31,387,1268,1253,0.09999999999999432,6.42,108,151,120,146,301,322,292,"4.633","-4.633","69.0","7.3",644,428,93,24,3,24,168,26.1,46,7.1,2.40384,0.529,0.244,0.04448,"92.1",157,47.7751756440281,11.7096018735363,7.763975155279502,5.81,-1.05,0.27,2.28,0.299,50,"-0.183776279",0.33,0.497,"0.183776279",-0.032,-0.031000000000000028,-0.08,-0.045,30.5,"37.9",14.742462694508065,-0.45583750665857165,34.563960119844104,0.5718875502008032,37.000613672124146,31.702897493144086
2324,683737,"Busch, Michael",2324,100,0.261,0.261,0.292,0.523,0.369,0.392,0.275,137,524,92.1,16.9,2291,89.2,89.34,273,1087,1237,0.09999999999999432,6.43,119,146,117,151,294,323,302,"-31.592","31.592","67.4","6.9",590,387,73,25,5,34,139,23.6,54,9.2,2.42549,0.50343,0.29858,-0.1994,"92.4",175,47.40932642487047,17.098445595854923,11.186440677966102,5.78,-1.3,-0.13,2.3,0.341,66,"1.359380379",0.354,0.569,"-1.359380379",-0.014,-0.012999999999999956,-0.046,-0.023,25.1,"37.3",14.641154516000274,1.2200777250214585,36.5845228685588,0.47413793103448276,35.698355592910005,31.078108342546273
2312,691718,"Crow-Armstrong, Pete",2312,100,0.247,0.234,0.276,0.481,0.323,0.334,0.255,146,591,88,18.8,2298,89,89.1,401,1389,923,0.09999999999999432,6.38,112,145,103,150,294,323,300,"-9.871","9.871","70.2","7.1",646,454,74,37,4,31,155,24,28,4.3,2.41334,0.5255,0.3063,-0.20949,"92.1",167,41.90687361419069,13.082039911308204,9.13312693498452,5.8,-0.68,-0.26,2.35,0.286,59,"0.426946367",0.295,0.496,"-0.426946367",-0.008,-0.009000000000000008,-0.015,-0.011,28.9,"37.2",13.159520545317374,-2.9462573525100684,34.844708785230054,0.4797347089167281,36.372495095395884,35.30909576182319
2306,663656,"Tucker, Kyle",2306,100,0.266,0.198,0.282,0.464,0.363,0.382,0.282,133,500,90,17,2279,89.1,89.24,210,1042,1264,0.10000000000000853,6.4,117,146,124,151,296,324,302,"-23.949","23.949","69.6","7.4",590,416,82,25,4,22,88,14.9,80,13.6,2.37107,0.55506,0.33953,-0.12243,"91.9",156,40.38461538461539,10.817307692307693,7.627118644067797,5.79,-0.62,-0.16,2.33,0.37,45,"1.038551605",0.384,0.5,"-1.038551605",-0.016,-0.014000000000000012,-0.036,-0.019,20.2,"37.5",10.264740334417978,-6.079130823755271,33.85836699743133,0.46771037181996084,38.63332638487456,27.21819922312616
2305,663538,"Hoerner, Nico",2305,100,0.297,0.097,0.313,0.394,0.324,0.327,0.298,178,599,86.7,12.5,2345,89.7,89.86,126,1124,1181,0.20000000000000284,6.42,108,149,113,147,299,319,286,"-6.074","6.074","66.7","7.1",648,554,138,29,4,7,49,7.6,38,5.9,2.32278,0.56221,0.30103,0.14033,"90.9",156,30.490018148820326,2.35934664246824,2.006172839506173,5.8,-1.08,0.17,2.27,0.344,13,"0.2635141",0.346,0.398,"-0.2635141",-0.001,-0.0020000000000000018,-0.004,-0.003,11.2,"37.1",5.273803564935564,-1.1465491575793507,33.1493405500184,0.45222929936305734,36.65073437051821,26.697166297402205
1720,807713,"Shaw, Matt",1720,100,0.226,0.168,0.262,0.394,0.3,0.311,0.248,89,393,84.3,12.7,2310,89.4,89.57,186,826,894,0.19999999999998863,6.42,107,150,115,147,300,321,289,"0.608","-0.608","66.8","6.8",437,303,52,21,3,13,94,21.5,38,8.7,2.34005,0.57285,0.31226,0.08194,"91.0",157,29.2358803986711,6.976744186046512,4.805491990846682,5.81,-0.87,0.07,2.39,0.295,21,"-0.035348837",0.317,0.388,"0.035348837",-0.022,-0.02200000000000002,0.006,-0.011,22.5,"37.6",9.681380458625682,-0.9021838952046369,27.101810201776,0.6246851385390428,36.51082437878745,30.80237276116613
1667,608348,"Kelly, Carson",1667,100,0.249,0.179,0.272,0.428,0.332,0.331,0.245,92,369,88.8,16.4,2327,89.5,89.6,154,748,919,0.09999999999999432,6.37,108,150,122,146,301,322,291,"-1.432","1.432","69.4","6.9",421,293,61,13,1,17,80,19,45,10.7,2.34503,0.56386,0.29005,-0.02968,"91.6",166,40.27303754266212,9.556313993174061,6.65083135391924,5.81,-0.66,0.21,2.25,0.333,28,"0.085902819",0.33,0.429,"-0.085902819",0.004,0.0030000000000000027,-0.001,0.001,20.6,"38.1",10.527590120981975,-2.0908367142382223,33.04664444944736,0.4993103448275862,38.352194479580575,29.937375680146697
801,457759,"Turner, Justin",801,100,0.219,0.095,0.256,0.314,0.268,0.3,0.24,37,169,88.3,17.9,2301,90.2,90.24,66,381,420,0,6.4,109,151,124,147,299,320,288,"9.414","-9.414","64.5","6.3",191,136,27,7,0,3,37,19.4,17,8.9,2.09765,0.79316,0.42115,-0.11762,"90.5",172,30.88235294117647,3.6764705882352944,2.6178010471204187,5.85,0.52,0.35,2.49,0.288,5,"-1.175280899",0.311,0.362,"1.175280899",-0.021,-0.02300000000000002,-0.048,-0.032,17.3,"40.1",7.680068032027566,3.7246304257990035,34.55553194988009,0.46703296703296704,32.53063216173364,35.804594670545406
503,624512,"McGuire, Reese",503,100,0.227,0.22,0.212,0.447,0.293,0.266,0.221,30,132,82.9,15.7,2252,89.7,89.98,63,277,226,0.29999999999999716,6.41,117,146,111,151,290,322,302,"2.157","-2.157","67.9","7.9",139,109,19,2,0,9,26,18.7,4,2.9,2.36614,0.50593,0.39662,-0.35082,"91.3",154,36.69724770642202,9.174311926605505,7.194244604316546,5.79,-1.38,-0.2,2.4,0.246,10,"-0.428827038",0.244,0.377,"0.428827038",0.006,0.0020000000000000018,0.07,0.027,22.7,"36.3",11.715500631503396,-6.04381562967145,32.370276189099926,0.4962686567164179,38.399848163863226,30.510169193801186
