"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2865,660271,"Ohtani, Shohei",2865,100,0.282,0.34,0.315,0.622,0.418,0.439,0.288,172,611,94.9,14.9,2283,89.6,89.78,431,1290,1575,0.20000000000000284,6.36,119,146,131,152,301,326,306,"-63.145","63.145","74.0","7.9",707,426,83,25,9,55,187,26.4,89,12.6,2.36201,0.51598,0.33697,-0.15241,"94.4",169,58.68544600938967,23.474178403755868,14.144271570014144,5.77,-0.59,-0.12,2.31,0.374,100,"2.204013962",0.381,0.672,"-2.204013962",-0.006,-0.007000000000000006,-0.05,-0.021,33.4,"37.5",14.586853916275455,-1.7260170153011778,36.67608108948311,0.5090479937057435,39.70738501081215,27.408409860829213
2460,605141,"Betts, Mookie",2460,100,0.258,0.148,0.258,0.406,0.318,0.338,0.276,152,589,89.1,18,2314,90.4,90.63,155,1013,1447,0.19999999999998863,6.39,107,151,122,146,303,322,293,"-7.125","7.125","66.6","6.9",661,531,107,23,2,20,68,10.3,59,8.9,2.20383,0.61825,0.33303,0.00061,"91.8",176,35.781544256120526,5.4613935969868175,4.387291981845689,5.77,-0.72,0.23,2.29,0.324,29,"0.289634146",0.342,0.435,"-0.289634146",-0.018,-0.018000000000000016,-0.029,-0.02,15.3,"38.0",8.104723892249263,-3.5219525637335987,34.45850525752238,0.5260960334029228,38.56094973959928,32.051760835322206
2382,518692,"Freeman, Freddie",2382,100,0.295,0.207,0.342,0.502,0.37,0.357,0.275,164,556,90.9,14.3,2288,89.7,89.85,337,1236,1146,0.09999999999999432,6.35,116,146,127,151,295,322,303,"-26.986","26.986","68.3","6.8",620,433,99,39,2,24,128,20.6,53,8.5,2.34486,0.52655,0.32137,-0.1884,"92.1",164,45.83333333333333,10.416666666666668,7.258064516129033,5.76,-0.8,-0.11,2.39,0.36,45,"1.132913518",0.344,0.479,"-1.132913518",0.02,0.016000000000000014,0.023,0.013,27.3,"37.6",9.589006844490136,2.40457158561767,42.79615149398352,0.43636363636363634,39.59267613175815,26.16539777681722
2365,681624,"Pages, Andy",2365,100,0.272,0.189,0.308,0.461,0.332,0.325,0.266,158,581,88.6,16.9,2319,89.9,90.06,270,1256,1109,0.19999999999998863,6.37,108,151,122,147,302,321,293,"-11.702","11.702","70.6","7.8",624,452,103,27,1,27,135,21.6,29,4.6,2.29809,0.5739,0.29693,0.11832,"91.4",166,37.333333333333336,8.444444444444445,6.089743589743589,5.76,-0.85,0.17,2.37,0.313,38,"0.494799154",0.309,0.443,"-0.494799154",0.006,0.0040000000000000036,0.018,0.007,21.5,"37.6",7.094492117382666,-3.1496265390838962,40.54153594238758,0.45572705117790413,38.57396877928303,30.792179485483928
2139,606192,"Hernández, Teoscar",2139,100,0.247,0.208,0.283,0.455,0.315,0.331,0.26,126,510,90.2,9.9,2308,89.7,89.94,344,1078,1061,0.20000000000000284,6.39,108,151,122,146,304,324,295,"-2.312","2.312","71.0","7.7",545,382,71,29,1,25,133,24.4,26,4.8,2.32982,0.53849,0.28212,0.10109,"92.2",154,46.07329842931937,11.518324607329843,8.073394495412845,5.75,-0.97,0.22,2.29,0.285,44,"0.108087892",0.301,0.462,"-0.108087892",-0.013,-0.016000000000000014,-0.007,-0.016,31.9,"37.2",9.666581881739965,1.6261461067176457,31.68957562648992,0.5231660231660231,39.219622502702954,29.500281626217834
2049,624424,"Conforto, Michael",2049,100,0.199,0.134,0.247,0.333,0.287,0.341,0.246,83,418,89.9,12.9,2296,89.8,89.96,230,924,1125,0.20000000000000284,6.36,118,147,124,151,294,321,300,"11.444","-11.444","72.6","7.2",486,300,51,20,0,12,121,24.9,56,11.5,2.3279,0.56257,0.35761,-0.26829,"91.8",155,44.14715719063545,9.698996655518394,5.967078189300412,5.73,-1.3,-0.11,2.36,0.305,29,"-0.558516349",0.347,0.428,"0.558516349",-0.047,-0.04199999999999998,-0.095,-0.054,24.9,"36.8",9.267951084585523,3.261515224283438,31.74849765185166,0.456353591160221,37.49991738236907,26.722882400827174
1926,669257,"Smith, Will",1926,100,0.296,0.202,0.345,0.497,0.389,0.386,0.28,107,362,91.3,18.3,2307,89.9,90.18,166,747,1179,0.29999999999999716,6.42,109,151,122,147,306,322,293,"-27.662","27.662","67.7","7.2",435,278,69,20,1,17,89,20.5,63,14.5,2.293,0.59505,0.26846,0.07493,"92.2",191,47.122302158273385,12.23021582733813,7.816091954022989,5.75,-0.89,0.26,2.32,0.402,34,"1.436240914",0.39,0.506,"-1.436240914",0.016,0.01200000000000001,-0.009,0.003,22.2,"37.9",10.765188112370241,2.506191240124348,34.13422519170813,0.6,37.477166039807294,30.262852126959483
1650,571970,"Muncy, Max",1650,100,0.243,0.227,0.264,0.47,0.366,0.388,0.251,76,313,91.3,19.7,2296,88.7,88.86,164,699,951,0.20000000000000284,6.38,115,145,125,152,298,322,301,"-17.025","17.025","69.0","6.9",386,235,45,10,2,19,83,21.5,62,16.1,2.5105,0.45428,0.21451,-0.12665,"92.5",173,51.48936170212765,13.617021276595745,8.290155440414509,5.76,-1.05,-0.1,2.24,0.373,32,"1.031818182",0.381,0.522,"-1.031818182",-0.008,-0.008000000000000007,-0.052,-0.022,23.5,"37.7",16.893492312624648,-2.7037245516050534,34.64733868686161,0.47112462006079026,38.38506599818145,36.725656246434625
1338,669242,"Edman, Tommy",1338,100,0.225,0.156,0.235,0.382,0.284,0.328,0.279,78,346,88,11.3,2227,89.3,89.45,127,642,696,0.20000000000000284,6.38,112,148,111,149,293,319,296,"2.405","-2.405","69.0","6.8",377,291,51,13,1,13,61,16.2,19,5,2.40568,0.50474,0.42688,-0.42595,"92.1",144,40.13840830449827,4.498269896193772,3.4482758620689653,5.67,-0.64,-0.04,2.25,0.274,13,"-0.179745889",0.327,0.421,"0.179745889",-0.054,-0.05299999999999999,-0.039,-0.044,19.8,"35.5",8.641687410511999,0.8160050168958768,26.522526009762196,0.5453074433656958,36.23339027650793,28.522579153815556
1166,500743,"Rojas, Miguel",1166,100,0.262,0.134,0.291,0.397,0.311,0.297,0.255,76,290,85.9,11.3,2263,89.1,89.28,94,524,642,0.20000000000000284,6.33,108,150,114,146,299,317,286,"-1.082","1.082","65.2","6.9",315,247,51,18,0,7,46,14.6,22,7,2.35432,0.58417,0.32869,-0.07565,"91.2",152,31.428571428571427,4.081632653061225,3.1746031746031744,5.79,-0.1,0.19,2.27,0.314,10,"0.092795883",0.308,0.366,"-0.092795883",0.007,0.006000000000000005,0.031,0.014,17.9,"38.4",6.428973785720114,-4.353082213931784,32.24291080310456,0.4621676891615542,37.06525487683413,34.15146671912922
