"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2624,680776,"Duran, Jarren",2624,100,0.256,0.185,0.326,0.442,0.335,0.333,0.258,159,620,91.6,12,2258,89.6,89.63,363,1238,1386,0,6.41,116,147,109,151,285,322,305,"-16.129","16.129","73.0","7.4",695,455,89,41,13,16,169,24.3,59,8.5,2.26632,0.63213,0.37744,-0.21943,"93.0",160,46.91629955947136,9.691629955947137,6.330935251798561,5.77,-0.66,-0.09,2.41,0.331,44,"0.614672256",0.335,0.42,"-0.614672256",-0.002,-0.0040000000000000036,0.022,0.002,29.3,"38.6",4.858819378339136,1.6737655619501945,26.400011328901126,0.41895261845386533,38.95248293636657,30.848328928687074
2472,596115,"Story, Trevor",2472,100,0.263,0.17,0.33,0.433,0.32,0.317,0.256,161,612,91.3,14,2305,89.2,89.23,394,1344,1128,0,6.42,108,151,122,147,293,322,295,"-5.053","5.053","69.8","7.3",653,438,107,29,0,25,176,27,32,4.9,2.33837,0.59451,0.28697,0.10324,"92.4",160,47.24770642201835,9.862385321100918,6.584992343032159,5.73,-0.88,0.17,2.37,0.307,43,"0.204409385",0.301,0.428,"-0.204409385",0.007,0.006000000000000005,0.005,0.003,29.3,"38.2",9.634179537392777,-2.7898053875171294,29.135725725243052,0.4382716049382716,39.26038765001107,34.30873207698587
2128,678882,"Rafaela, Ceddanne",2128,100,0.249,0.165,0.289,0.414,0.307,0.313,0.252,136,546,87.7,12.1,2263,89.1,89.25,336,1254,874,0.20000000000000284,6.43,105,150,110,146,292,321,294,"6.116","-6.116","68.5","7.3",587,434,82,34,4,16,117,19.9,28,4.8,2.33103,0.59674,0.35551,0.13763,"91.5",157,38.70967741935484,9.216589861751153,6.814310051107325,5.73,-0.73,0.13,2.32,0.295,40,"-0.287406015",0.298,0.426,"0.287406015",-0.003,-0.0030000000000000027,-0.012,-0.006,26.8,"38.0",10.105147474461477,-0.399292255385363,32.46547311292587,0.5334947538337369,35.540369374200246,32.33471233263134
1947,608324,"Bregman, Alex",1947,100,0.273,0.189,0.288,0.462,0.356,0.345,0.263,118,433,90.1,17.7,2299,89.5,89.68,119,791,1156,0.20000000000000284,6.5,107,151,123,146,290,322,296,"-17.233","17.233","69.4","7.0",492,365,72,28,0,18,70,14.2,48,9.8,2.27982,0.61675,0.35087,0.13907,"92.4",166,44.38356164383562,6.575342465753424,4.878048780487805,5.71,-0.79,0.2,2.28,0.356,24,"0.88510529",0.348,0.44,"-0.88510529",0.01,0.008000000000000007,0.022,0.011,15,"38.6",13.021069405430659,-3.873843096587464,28.116841634690378,0.6382165605095541,33.93000101964649,31.166606180579134
1829,665966,"Narváez, Carlos",1829,100,0.241,0.179,0.294,0.419,0.315,0.3,0.228,97,403,90.7,12.8,2287,89.5,89.62,248,895,934,0.09999999999999432,6.43,107,151,122,147,291,321,294,"0.191","-0.191","70.4","7.5",446,296,55,27,0,15,111,24.9,38,8.5,2.25472,0.66034,0.37605,0.06757,"92.0",161,44.5945945945946,9.121621621621621,6.053811659192825,5.73,-0.71,0.17,2.37,0.306,27,"-0.010442865",0.295,0.392,"0.010442865",0.013,0.01100000000000001,0.027,0.015,27.7,"37.9",8.63849082693719,3.699874096200385,30.313608371428682,0.5130237825594564,38.493749252229776,30.056623876213038
1600,677800,"Abreu, Wilyer",1600,100,0.247,0.223,0.277,0.469,0.334,0.346,0.252,92,373,90.6,23,2242,90.3,90.43,200,833,767,0.10000000000000853,6.46,117,146,120,152,286,323,303,"-9.632","9.632","72.3","7.0",412,276,53,17,0,22,101,24.5,35,8.5,2.12339,0.72105,0.47254,-0.38997,"92.3",179,44.927536231884055,12.318840579710146,8.25242718446602,5.72,-1.18,-0.25,2.45,0.309,34,"0.602",0.315,0.495,"-0.602",-0.005,-0.006000000000000005,-0.026,-0.012,24,"37.3",8.660459036516473,-0.2737641359500697,31.384542009344056,0.5333333333333333,36.43446859127434,30.69009007107113
1389,646240,"Devers, Rafael",3060,45.4,0.272,0.232,0.322,0.504,0.385,0.4,0.274,74,272,94,13.7,2245,90.1,90.08,224,679,710,0,6.42,117,147,129,151,286,325,308,"-16.369","16.369","70.1","7.5",327,198,41,18,0,15,76,23.2,49,15,2.11954,0.75029,0.49489,-0.20951,"93.0",178,55.83756345177665,16.243654822335024,9.785932721712538,5.71,-0.48,-0.19,2.5,0.388,32,"1.178473722",0.394,0.531,"-1.178473722",-0.002,-0.006000000000000005,-0.027,-0.015,33,"36.7",8.053684661098085,7.672619569025732,28.77104263683783,0.556390977443609,35.315884182047604,26.848653291595987
1283,701350,"Anthony, Roman",1283,100,0.292,0.171,0.404,0.463,0.376,0.382,0.268,75,257,94.5,6.9,2275,88.9,88.92,143,480,803,0,6.36,116,146,124,151,287,323,307,"-16.336","16.336","72.8","7.3",303,174,48,18,1,8,84,27.7,40,13.2,2.41716,0.52717,0.37818,-0.14609,"94.1",147,60.69364161849711,15.606936416184972,8.91089108910891,5.79,-0.54,-0.12,2.34,0.396,27,"1.273265783",0.378,0.499,"-1.273265783",0.024,0.018000000000000016,-0.036,-0.006,29.8,"37.9",10.362804529447786,-0.07973261077071866,30.1970583192959,0.5,34.83646376033243,35.520984054951455
1238,663853,"Gonzalez, Romy",1238,100,0.305,0.178,0.378,0.483,0.352,0.358,0.29,96,315,93.3,5.5,2259,88.7,88.81,196,668,570,0.09999999999999432,6.39,108,150,121,147,293,322,295,"-13.279","13.279","72.4","6.7",340,239,61,23,3,9,81,23.8,17,5,2.34054,0.61579,0.35234,-0.02955,"93.6",157,57.56302521008403,12.605042016806722,8.823529411764707,5.8,-0.24,0.15,2.33,0.341,30,"1.072617124",0.332,0.501,"-1.072617124",0.015,0.009000000000000008,-0.018,-0.006,29.3,"39.9",4.997672123709607,5.276597296214708,27.768331321812923,0.43140243902439024,37.588299458641835,25.34324817416737
1105,647351,"Toro, Abraham",1105,100,0.239,0.131,0.256,0.371,0.286,0.307,0.259,62,259,86.3,13.4,2246,89.3,89.26,112,548,557,0,6.31,114,147,117,150,286,320,299,"5.743","-5.743","67.9","7.5",283,222,42,13,0,7,42,14.8,13,4.6,2.32089,0.60362,0.44163,-0.43472,"91.5",153,34.234234234234236,4.504504504504505,3.53356890459364,5.76,-0.77,-0.04,2.37,0.286,10,"-0.519728507",0.312,0.385,"0.519728507",-0.02,-0.026000000000000023,-0.014,-0.021,20.4,"37.7",10.4094720772748,-1.0892294000305056,31.60350998415452,0.5055970149253731,38.07582043831435,34.43978534978128
