"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2631,592450,"Judge, Aaron",2631,100,0.331,0.357,0.376,0.688,0.462,0.475,0.315,179,541,95.4,19.1,2284,89.3,89.43,397,1149,1482,0.10000000000000853,6.44,107,152,124,146,307,332,296,"-79.272","79.272","74.8","8.0",642,388,94,30,2,53,160,24.9,87,13.6,2.39848,0.50756,0.2609,0.06428,"94.6",184,58.39793281653747,24.8062015503876,14.953271028037381,5.77,-1.06,0.18,2.33,0.425,96,"3.01299886",0.415,0.735,"-3.01299886",0.016,0.010000000000000009,-0.047,-0.013,34.6,"38.1",13.411519639573259,-5.130068169527918,38.519383575750076,0.49422222222222223,41.86967212989052,29.82976099269231
2594,641355,"Bellinger, Cody",2594,100,0.272,0.207,0.274,0.48,0.347,0.332,0.261,160,588,88.2,18.5,2268,89.8,89.86,227,1253,1341,0.10000000000000853,6.44,113,145,121,151,293,325,296,"-18.608","18.608","68.7","7.7",655,507,101,25,5,29,90,13.7,56,8.5,2.2905,0.59663,0.39796,-0.23061,"91.4",169,38.01980198019802,7.524752475247524,5.801526717557252,5.77,-0.81,-0.29,2.43,0.333,38,"0.717347726",0.326,0.436,"-0.717347726",0.011,0.007000000000000006,0.044,0.015,18.1,"38.0",12.09024366024992,-1.9407724866693243,32.37908837714403,0.5745542949756888,32.053985825208315,29.32309498289832
2397,683011,"Volpe, Anthony",2397,100,0.212,0.18,0.252,0.391,0.286,0.31,0.233,114,539,88.8,12.2,2278,89.4,89.55,276,1101,1296,0.19999999999998863,6.43,107,150,113,146,304,323,287,"16.375","-16.375","70.5","7.2",596,399,59,32,4,19,150,25.2,43,7.2,2.29282,0.6106,0.34116,0.11227,"92.1",167,41.854636591478695,10.526315789473683,7.046979865771812,5.76,-0.7,0.1,2.39,0.272,42,"-0.683145599",0.294,0.417,"0.683145599",-0.021,-0.021999999999999964,-0.026,-0.024,25.1,"37.7",10.539610969065937,6.414095492069331,31.464809301409648,0.6365313653136532,37.74870914372118,24.521873202326724
2393,663757,"Grisham, Trent",2393,100,0.235,0.229,0.253,0.464,0.353,0.377,0.257,116,494,90.6,16.2,2256,89.9,89.93,211,930,1463,0,6.43,117,145,108,151,295,325,297,"-22.189","22.189","68.7","7.5",581,358,72,9,1,34,137,23.6,82,14.1,2.29051,0.58621,0.41663,-0.23031,"92.5",172,46.36871508379888,14.24581005586592,8.777969018932874,5.78,-0.78,-0.15,2.32,0.348,51,"0.927246135",0.366,0.509,"-0.927246135",-0.022,-0.018000000000000016,-0.045,-0.024,22.7,"37.9",15.133617879143332,2.6788056068917836,30.93670731100708,0.5611111111111111,39.76785595103412,23.294519606339783
2138,665862,"Chisholm Jr., Jazz",2138,100,0.242,0.238,0.282,0.481,0.348,0.357,0.245,112,462,88.3,15.2,2243,89,89.1,324,1006,1132,0.09999999999999432,6.46,115,145,110,151,294,325,296,"-19.207","19.207","71.9","7.7",529,319,65,15,1,31,148,28,56,10.6,2.39626,0.55525,0.36157,-0.22988,"92.5",158,43.260188087774296,15.047021943573668,9.073724007561438,5.74,-0.82,-0.2,2.29,0.33,48,"0.898362956",0.332,0.503,"-0.898362956",-0.003,-0.0020000000000000018,-0.022,-0.009,32.2,"37.4",14.91072712985345,-5.631512035126126,32.80677723466447,0.5493387589013224,35.016416753307446,31.09332028318583
2092,502671,"Goldschmidt, Paul",2092,100,0.274,0.129,0.325,0.403,0.316,0.334,0.273,134,489,90.4,15.9,2283,89.6,89.76,205,999,1093,0.20000000000000284,6.44,108,151,123,146,305,327,291,"-1.147","1.147","71.4","7.5",529,391,92,31,1,10,100,18.9,31,5.9,2.26663,0.62025,0.28356,0.10143,"92.3",177,43.958868894601544,7.969151670951156,5.8601134215500945,5.83,-0.64,0.03,2.33,0.321,31,"0.054827916",0.321,0.455,"-0.054827916",0.001,0,-0.052,-0.018,20.5,"39.0",9.057442774930687,3.7340745438157645,31.70826044253027,0.48328267477203646,41.28080475497739,20.342615238612087
2047,700250,"Rice, Ben",2047,100,0.255,0.244,0.271,0.499,0.358,0.41,0.299,119,467,93.3,14.1,2253,89.2,89.33,188,887,1160,0.09999999999999432,6.42,117,146,124,152,296,326,297,"-21.879","21.879","71.6","7.3",530,369,61,28,4,26,100,18.9,50,9.4,2.41055,0.50258,0.33316,-0.21495,"94.1",164,55.945945945945944,15.405405405405407,10.754716981132075,5.76,-0.94,-0.14,2.29,0.337,57,"1.068832438",0.379,0.581,"-1.068832438",-0.044,-0.04199999999999998,-0.082,-0.052,21.2,"37.7",10.165042632864582,-4.856817038296383,33.094186059430534,0.5430232558139535,38.38191296553532,27.88714036106883
1794,669224,"Wells, Austin",1794,100,0.219,0.217,0.245,0.436,0.301,0.302,0.221,88,401,90.2,20.4,2266,89.4,89.53,249,909,885,0.09999999999999432,6.48,116,145,116,150,292,325,298,"3.198","-3.198","71.5","7.5",447,294,44,22,1,21,118,26.4,29,6.5,2.34246,0.5645,0.34673,-0.21671,"92.2",173,45.23809523809524,10.204081632653061,6.7114093959731544,5.76,-0.56,-0.23,2.32,0.274,30,"-0.17826087",0.281,0.411,"0.17826087",-0.002,-0.007000000000000006,0.025,-0.001,27.4,"36.8",9.742147427163298,-4.140036474726075,31.685746397477857,0.4748603351955307,33.57847297766688,29.693316003521964
1692,691176,"Domínguez, Jasson",1692,100,0.257,0.131,0.338,0.388,0.316,0.311,0.242,98,381,90.6,13,2251,89.3,89.43,232,853,839,0.10000000000000853,6.44,114,147,121,150,296,324,295,"-3.212","3.212","72.8","7.7",428,270,69,18,1,10,115,26.9,40,9.3,2.38905,0.53379,0.38102,-0.38102,"92.4",147,49.629629629629626,7.037037037037037,4.439252336448598,5.75,-0.85,-0.09,2.36,0.329,19,"0.189834515",0.319,0.377,"-0.189834515",0.015,0.010000000000000009,0.011,0.005,27.2,"37.8",5.764298459038404,-2.0408616183416637,31.17655030696782,0.44549763033175355,32.93261748759069,29.359618136189578
1214,519317,"Stanton, Giancarlo",1214,100,0.273,0.321,0.338,0.594,0.395,0.366,0.246,68,249,94.4,17.5,2286,89.7,89.72,188,503,711,0,6.42,107,151,123,146,306,331,294,"-19.141","19.141","79.0","8.7",278,154,36,8,0,24,96,34.5,26,9.4,2.27926,0.60342,0.33631,0.07598,"94.6",168,55.1948051948052,22.07792207792208,12.23021582733813,5.77,-0.82,0.06,2.37,0.343,34,"1.576688633",0.321,0.537,"-1.576688633",0.027,0.02200000000000002,0.057,0.029,37.4,"36.9",9.873513847885544,-2.760053560220931,27.932306782117845,0.602020202020202,42.55458006968851,25.01146155128269
